customer_id,amount
110146,297042.3917
1253805,40731936.34
1496647,66095.19167
1465410,23920.05
1603615,36878.44167
3214673,616155.8583
125629,245673.175
2963660,10562106.88
2321065,24450.88333
4026505,5107.525
1404752,2919814.892
1456096,53307.76667
1115805,66791.85833
1197727,61227.65833
2824521,41666.775
1365356,24598.41667
2421972,41666.775
1109838,28169.24167
1057563,23960.05
1197085,66699.35833
1014775,6338441.4
1017604,103275.2917
1823074,2287172117
1315066,15241.99167
2476270,89358100.58
1176942,5483930.35
3810177,890441.6667
4621169,15012.55
1052935,66853.525
2388335,41669.275
2560522,41666.775
1287722,0
2413417,32419.25
2486997,103344.1917
2356180,44177.6
1306747,283518.2833
2811936,3920316.883
3817492,41755.10833
3034164,214991.825
1277948,0
310898,41666666.67
2443458,23921.71667
2419475,31777734.63
3858991,32935.08333
2466514,0
3915991,67421.85833
1027243,66893.525
1984568,22910.45833
2263448,66057.69167
2176030,23983.38333
1151301,66764.35833
1231682,66660.19167
1144672,0
1041159,18085.05
1122512,333333333.3
1022811,24110.05
1186760,18468136.48
1389072,0
1024703,304810560.6
2273500,133876.425
3881544,554166666.7
1171231,29674054.46
1044555,47764.3
3875443,0
1156195,66671.025
134306,66147.69167
2007260,42295.94167
1452473,111582.525
2371976,51244077.23
1065449,23748.38333
2410828,0
1342640,58507.65833
1295762,0
1374487,90422.58333
3073206,658801.8
4468735,16473.95
1227864,23667.55
3761599,12902.525
2503326,19195.88333
1496964,48624.3
2482159,701063.4917
1466420,1535
1119393,2074.166667
1248954,247246320.7
4075692,41715.94167
2208185,6101.691667
1247094,20277673.63
3793022,16265.88333
245957,77009.38333
2485467,4199944.358
1340520,46981.8
1177884,82533.55
4370811,114.1666667
252612,94211.1
1339996,89226.90833
3923598,25065.91667
252283,256164516.2
2465085,83041.18333
2237818,23898.38333
3813539,1302600.292
2382216,129984.9417
1018214,24102.55
1167148,163847.9583
2587237,45.83333333
1019081,416921.1
1142827,23863.38333
1207743,96921.93333
4096048,11690.025
